smiles,name
O=N(=O)c1ccc(CCC(N(=O)=O)(N(=O)=O)N(=O)=O)c(N(=O)=O)c1,"1-(3,3,3-Trinitropropyl)-2,4-dinitrobenzene"
Cc2c(N(=O)=O)cc(N(=O)=O)c(c1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)c2N(=O)=O,"3-Methyl-2,2’,4,4’,6,6’-hexanitrobiphenyl"
Cc2c(N(=O)=O)cc(N(=O)=O)c(c1ccc(N(=O)=O)cc1N(=O)=O)c2N(=O)=O,"3-Methyl-2,2’,4,4’,6-pentanitrobiphenyl"
C1=C(C=C(C(=C1[N+](=O)[O-])C=CC2=C(C=C(C=C2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],JD-X
C1=C(C=C(C(=C1[N+](=O)[O-])CCC2=C(C=C(C=C2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],"2,2’,4,4’,6,6’-Hexanitrobibenzyl"
CC1=C(C(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C2=C(C=C(C(=C2[N+](=O)[O-])C)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],"3,3’-Dimethyl-2,2’,4,4’,6,6’-hexanitrobiphenyl"
C1=C(C=C([N+](=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],"2,4,6-Trinitropyridine-1-oxide"
O=N(=O)c2cnc(/N=N/c1ncc(N(=O)=O)cc1N(=O)=O)c(N(=O)=O)c2,"3,3’,5,5’-Tetranitro-2,2’-azopyridine"
C1=C(C=C(C(=C1[N+](=O)[O-])N=NC2=C(C=C(C(=N2)N=NC3=C(C=C(C=C3[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],"2,6-Bis(picrylazo)-3,5-dinitropyridine"
C1=C(C=C(C(=C1[N+](=O)[O-])NC2=C(C=C(C(=N2)NC3=C(C=C(C=C3[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],PYX
O=N(=O)c3cc(N(=O)=O)c(Nc2cc(Nc1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)c(N(=O)=O)nc2N(=O)=O)c(N(=O)=O)c3,"3,5-Bis(picrylamino)-2,6-dinitropyridine"
O=N(=O)c3cc(N(=O)=O)c(Nc2cccc(Nc1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)n2)c(N(=O)=O)c3,"2,6-Bis(picrylamino) pyridine"
C1(=C(N=C(N1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],Ex248
C1=C(NC(=N1)[N+](=O)[O-])[N+](=O)[O-],"2,4-DNI"
