id,name,smiles,C_4,H_4,N_4,O_4,C_7,H_7,N_7,O_7,C_prime,N_prime,O_prime
216,Klapotke 57,O=C(NN(=O)=O)OCCC(N(=O)=O)(N(=O)=O)N(=O)=O,4,5,5,10,3,5,1,1,1,4,9
217,Klapotke 58,O=C(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)C(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,6,4,6,16,4,4,0,2,2,6,14
218,Klapotke 59,O=C(OCCC(N(=O)=O)(N(=O)=O)N(=O)=O)C(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,7,6,6,16,5,6,0,2,2,6,14
219,Klapotke 60,N#N=NC(=O)C(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,4,2,6,9,2,2,0,1,2,6,8
220,Klapotke 61,O=C(NC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,6,5,7,16,4,5,1,2,2,6,14
221,Klapotke 62,O=C(CCC(N(=O)=O)(N(=O)=O)N(=O)=O)NC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,7,7,7,15,5,7,1,1,2,6,14
222,Klapotke 63,N#N=NC(=O)NC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,4,3,7,9,2,3,1,1,2,6,8
223,Klapotke 64,O=N(=O)c4cc(N(=O)=O)c(c3nnc(c2nnc(c1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)o2)o3)c(N(=O)=O)c4,16,4,10,14,0,4,0,2,16,10,12
224,Klapotke 65,Nc1n[nH]nc1c2nnn[nH]2,3,4,8,0,0,4,1,0,3,7,0
225,Klapotke 66,N#N=Nc1n[nH]nc1c2nnn[nH]2,3,2,10,0,0,2,0,0,3,10,0
226,Klapotke 67,O=N(=O)c1n[nH]nc1c2nnn[nH]2,3,2,8,2,0,2,1,0,3,7,2
227,Klapotke 68,CN(Cn1c(N(=O)=O)n[nH]c1=O)N(=O)=O,4,6,6,5,2,6,3,0,2,3,5
228,Klapotke 69,CN(Cn1nc(N(=O)=O)n(CN(C)N(=O)=O)c1=O)N(=O)=O,6,10,8,7,4,10,4,0,2,4,7
229,Klapotke 70,CN(Cn1nc(N(=O)=O)nc1N(=O)=O)N(=O)=O,4,5,7,6,2,5,2,0,2,5,6
230,Klapotke 71,CN(Cn1nc(N(=O)=O)nc1N)N(=O)=O,4,7,7,4,2,7,3,0,2,4,4
231,Klapotke 72,CN(Cn1nc(N(=O)=O)nc1c2nc(N(=O)=O)nn2CN(C)N(=O)=O)N(=O)=O,8,10,12,8,4,10,4,0,4,8,8
232,Klapotke 73,CN(Cn1cc(N(=O)=O)nc1N(=O)=O)N(=O)=O,5,6,6,6,2,6,2,0,3,4,6
233,Klapotke 74,CN(Cn1cnc(N(=O)=O)c1N(=O)=O)N(=O)=O,5,6,6,6,2,6,1,0,3,5,6
234,Klapotke 75,CN(Cn1nc(N(=O)=O)cc1N(=O)=O)N(=O)=O,5,6,6,6,2,6,1,0,3,5,6
235,Klapotke 76,CN(Cn1ncc(N(=O)=O)c1n2cc(N(=O)=O)c(N(=O)=O)n2)N(=O)=O,8,7,9,8,2,7,1,0,6,8,8
236,Klapotke 78,CN(Cn1nc(N(=O)=O)c(N)c1N(=O)=O)N(=O)=O,5,7,7,6,2,7,1,0,3,6,6
237,Klapotke 79,O=C(OO)c1ccc(C(=O)OO)cc1,8,6,0,6,0,6,0,4,8,0,2
238,Klapotke 80,O=C(OO)c1ccc(N(=O)=O)cc1,7,5,1,5,0,5,0,2,7,1,3
239,Klapotke 81,O=C(OO)c1cc(N(=O)=O)cc(N(=O)=O)c1,7,4,2,7,0,4,0,2,7,2,5
240,Klapotke 82,O=C(OO)c1cc(C(=O)OO)cc(C(=O)OO)c1,9,6,0,9,0,6,0,6,9,0,3
241,Klapotke 83,O=C(NC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)NC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,7,6,8,17,4,6,2,2,3,6,15
242,Klapotke 85,O=C(NCC(N(=O)=O)(N(=O)=O)N(=O)=O)OCC(COC(=O)NCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,9,10,10,20,7,10,2,2,2,8,18
243,Klapotke 86,O=C(OCC(COC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,9,8,8,22,7,8,0,4,2,8,18
244,Klapotke 87,CN(CNC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O,5,8,6,10,4,8,2,1,1,4,9
245,Klapotke 89,CN(CN(C(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,5,7,7,12,4,7,2,1,1,5,11
