id,name,smiles,C_4,H_4,N_4,O_4,C_7,H_7,N_7,O_7,C_prime,N_prime,O_prime
173,Klapotke 12,N#N=NCC(COC(=O)CC(=O)OCC(CN=N#N)N=N#N)N=N#N,9,12,12,4,7,12,0,2,2,12,2
174,Klapotke 13,N#N=NCCOC(=O)C(N=N#N)(N=N#N)C(=O)OCCN=N#N,7,8,12,4,5,8,0,2,2,12,2
175,Klapotke 14,N#N=NCC(CN=N#N)OC(=O)C(N=N#N)(N=N#N)C(=O)OC(CN=N#N)CN=N#N,9,10,18,4,7,10,0,2,2,18,2
176,Klapotke 15,N#N=NCC(COC(=O)C(N=N#N)(N=N#N)C(=O)OCC(CN=N#N)N=N#N)N=N#N,9,10,18,4,7,10,0,2,2,18,2
177,Klapotke 16,NC(=O)Nc1nonc1N(=O)=O,3,3,5,4,0,3,2,1,3,3,3
178,Klapotke 17,O=C(Nc1nonc1N(=O)=O)NN(=O)=O,3,2,6,6,0,2,2,1,3,4,5
179,Klapotke 18,NC(=O)Nc1nonc1NC(N)=O,4,6,6,3,0,6,4,1,4,2,2
180,Klapotke 19,O=C(Nc1nonc1NC(=O)NN(=O)=O)NN(=O)=O,4,4,8,7,0,4,4,1,4,4,6
181,Klapotke 20,O=N(=O)OCCN(CCON(=O)=O)C(CON(=O)=O)(CON(=O)=O)CON(=O)=O,8,14,6,15,8,14,1,5,0,5,10
182,Klapotke 21,O=C(CC(=O)NC(CON(=O)=O)(CON(=O)=O)CON(=O)=O)NC(CON(=O)=O)(CON(=O)=O)CON(=O)=O,11,16,8,20,9,16,2,6,2,6,14
183,Klapotke 22,O=C(O)CN(N(=O)=O)C(CON(=O)=O)(CON(=O)=O)CON(=O)=O,6,9,5,13,5,9,1,4,1,4,9
184,Klapotke 23,O=N(=O)OCC(CON(=O)=O)(CON(=O)=O)N(CC(CN(N(=O)=O)C(CON(=O)=O)(CON(=O)=O)CON(=O)=O)ON(=O)=O)N(=O)=O,11,17,11,25,11,17,2,7,0,9,18
185,Klapotke 24,O=C1OCC(ON(=O)=O)(ON(=O)=O)N1N(=O)=O,3,2,4,10,2,2,1,3,1,3,7
186,Klapotke 25,O=C(NN(=O)=O)OC12CC3(OC(=O)NN(=O)=O)CC(OC(=O)NN(=O)=O)(C1)CC(OC(=O)NN(=O)=O)(C2)C3,14,16,8,16,10,16,4,4,4,4,12
187,Klapotke 26,O=N(=O)OC12CC3(ON(=O)=O)CC(ON(=O)=O)(C1)CC(ON(=O)=O)(C2)C3,10,12,4,12,10,12,0,4,0,4,8
188,Klapotke 27,Nc2nnc(c1nnc(N)o1)o2,4,4,6,2,0,4,2,2,4,4,0
189,Klapotke 28,O=N(=O)Nc2nnc(c1nnc(NN(=O)=O)o1)o2,4,2,8,6,0,2,2,2,4,6,4
190,Klapotke 29,O=C(OOC(=O)c1ccc(N(=O)=O)cc1)c2ccc(N(=O)=O)cc2,14,8,2,8,0,8,0,2,14,2,6
191,Klapotke 30,O=C(OOC(=O)c1cccc(N(=O)=O)c1)c2cccc(N(=O)=O)c2,14,8,2,8,0,8,0,2,14,2,6
192,Klapotke 31,O=C(OOC(=O)c1cc(N(=O)=O)cc(N(=O)=O)c1)c2cc(N(=O)=O)cc(N(=O)=O)c2,14,6,4,12,0,6,0,2,14,4,10
193,Klapotke 32,O=C(OOC(=O)c1cccc(N(=O)=O)c1)c2ccc(N(=O)=O)cc2,14,8,2,8,0,8,0,2,14,2,6
194,Klapotke 33,O=C(OOC(=O)c1cc(N(=O)=O)cc(N(=O)=O)c1)c2cccc(N(=O)=O)c2,14,7,3,10,0,7,0,2,14,3,8
195,Klapotke 34,O=C(OOC(=O)c1cc(N(=O)=O)cc(N(=O)=O)c1)c2ccc(N(=O)=O)cc2,14,7,3,10,0,7,0,2,14,3,8
196,Klapotke 35,O=C(OOC(=O)c1ccc(N(=O)=O)cc1)c3ccc(C(=O)OOC(=O)c2ccc(N(=O)=O)cc2)cc3,22,12,2,12,0,12,0,4,22,2,8
197,Klapotke 36,O=C(OOC(=O)c1cc(N(=O)=O)cc(N(=O)=O)c1)c3ccc(C(=O)OOC(=O)c2cc(N(=O)=O)cc(N(=O)=O)c2)cc3,22,10,4,16,0,10,0,4,22,4,12
198,Klapotke 38,CC(C)(C)OOC1(N=N#N)CCC(N=N#N)(OOC(C)(C)C)CC1,14,26,6,4,14,26,0,4,0,6,0
199,Klapotke 40,CC(C)(C)OOC(N=N#N)c1ccc(C(N=N#N)OOC(C)(C)C)cc1,16,24,6,4,10,24,0,4,6,6,0
200,Klapotke 41,CC(C)(C)OOC(N=N#N)c1ccccc1C(N=N#N)OOC(C)(C)C,16,24,6,4,10,24,0,4,6,6,0
201,Klapotke 42,CC(C)(C)OOC2(N=N#N)CCC(C1CCC(N=N#N)(OOC(C)(C)C)CC1)CC2,20,36,6,4,20,36,0,4,0,6,0
202,Klapotke 43,O=C(O)CCN(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O,5,7,5,10,4,7,1,1,1,4,9
203,Klapotke 44,O=C(CCN(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,7,8,8,16,6,8,1,1,1,7,15
204,Klapotke 45,N#N=NC(=O)CCN(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O,5,6,8,9,4,6,1,0,1,7,9
205,Klapotke 46,O=C(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)N(CCN(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,7,8,10,18,6,8,2,1,1,8,17
206,Klapotke 47,O=C(O)C[C@@H](C(=O)O)N(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O,6,7,5,12,4,7,1,2,2,4,10
207,Klapotke 48,O=C(C[C@@H](C(=O)O)N(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,8,8,8,18,6,8,1,2,2,7,16
208,Klapotke 49,CC(NC(=O)NC(C)C(N(=O)=O)(N(=O)=O)N(=O)=O)C(N(=O)=O)(N(=O)=O)N(=O)=O,7,10,8,13,6,10,2,0,1,6,13
209,Klapotke 50,CC(OC(N)=O)C(N(=O)=O)(N(=O)=O)N(=O)=O,4,6,4,8,3,6,1,1,1,3,7
210,Klapotke 51,CC(OC(=O)NN(=O)=O)C(N(=O)=O)(N(=O)=O)N(=O)=O,4,5,5,10,3,5,1,1,1,4,9
211,Klapotke 52,O=C(NCC(N(=O)=O)(N(=O)=O)N(=O)=O)NCC(N(=O)=O)(N(=O)=O)N(=O)=O,5,6,8,13,4,6,2,0,1,6,13
212,Klapotke 53,NC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,3,4,4,8,2,4,1,1,1,3,7
213,Klapotke 54,O=C(NN(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,3,3,5,10,2,3,1,1,1,4,9
214,Klapotke 55,O=C(NCCC(N(=O)=O)(N(=O)=O)N(=O)=O)NCCC(N(=O)=O)(N(=O)=O)N(=O)=O,7,10,8,13,6,10,2,0,1,6,13
215,Klapotke 56,NC(=O)OCCC(N(=O)=O)(N(=O)=O)N(=O)=O,4,6,4,8,3,6,1,1,1,3,7
