id,name,formula,smiles,exp_dhf_kcal_mol,source,category
443,Isofulminic acid,CHNO,[C-]#[N+]O,55.82218,ATcT_v1.220,small_CHNO
444,Fulminic acid,CHNO,C#[N+][O-],40.461281,ATcT_v1.220,small_CHNO
445,"(3Z)-1,3-Hexadien-5-yne",C6H6,C#C/C=C\C=C,82.767686,ATcT_v1.220,hydrocarbon
446,"(3E)-1,3-Hexadien-5-yne",C6H6,C#C/C=C/C=C,82.839388,ATcT_v1.220,hydrocarbon
447,Phenylacetylene,C8H6,C#Cc1ccccc1,75.917782,ATcT_v1.220,hydrocarbon
448,"1,2-Dichloroethene",C2H2Cl2,ClC=CCl,-0.360899,ATcT_v1.220,chlorinated
449,"2,2,4-Trimethylpentane",C8H18,CC(C)CC(C)(C)C,-53.417782,ATcT_v1.220,hydrocarbon
450,Ethenol,C2H4O,C=CO,-29.734704,ATcT_v1.220,small_CHNO
451,Tetrachloromethane,CCl4,ClC(Cl)(Cl)Cl,-21.859465,ATcT_v1.220,chlorinated
452,Dioxymethyl,CH2O2,C=[O+][O-],25.119503,ATcT_v1.220,small_CHNO
453,Dewar benzene,C6H6,C1=CC2C=CC12,96.821224,ATcT_v1.220,hydrocarbon
454,cis-2-Butene,C4H8,C/C=C\C,-1.637189,ATcT_v1.220,hydrocarbon
455,"1,2-Butadiene",C4H6,C=C=CC,38.850382,ATcT_v1.220,hydrocarbon
456,"1,5-Hexadiene",C6H10,C=CCCC=C,20.057361,ATcT_v1.220,hydrocarbon
457,Fluoromethane,CH3F,CF,-56.278681,ATcT_v1.220,fluorinated
458,Chloroacetylene,C2HCl,C#CCl,55.021511,ATcT_v1.220,chlorinated
459,Ethenamine,C2H5N,C=CN,13.104685,ATcT_v1.220,small_CHNO
460,Chlorofluoromethane,CH2ClF,FCCl,-63.009082,ATcT_v1.220,fluorinated
461,Isocyanomethane,C2H3N,[C-]#[N+]C,42.366157,ATcT_v1.220,small_CHNO
462,Methyl hypochlorite,CH3ClO,COCl,-15.057361,ATcT_v1.220,chlorinated
463,Diethyl ether,C4H10O,CCOCC,-59.799235,ATcT_v1.220,small_CHNO
464,Methylketene,C3H4O,CC=C=O,-15.198375,ATcT_v1.220,small_CHNO
465,Formamide enol,CH3NO,N=CO,-33.891013,ATcT_v1.220,small_CHNO
466,"1,2,3,5-Hexatetraene",C6H6,C=C=C=CC=C,90.82218,ATcT_v1.220,hydrocarbon
467,Propadienone,C3H2O,C=C=C=O,31.209369,ATcT_v1.220,small_CHNO
468,Propyn-1-ol,C3H4O,CC#CO,13.718929,ATcT_v1.220,small_CHNO
469,Aniline,C6H7N,Nc1ccccc1,20.750478,ATcT_v1.220,small_CHNO
470,"1,2,3-Pentatriene",C5H6,C=C=C=CC,69.407266,ATcT_v1.220,hydrocarbon
471,trans-2-Butene,C4H8,C/C=C/C,-2.602772,ATcT_v1.220,hydrocarbon
472,Propargyl chloride,C3H3Cl,C#CCCl,43.212237,ATcT_v1.220,chlorinated
473,2-Propynal,C3H2O,C#CC=O,31.871415,ATcT_v1.220,small_CHNO
474,"1,2-Difluoroethane",C2H4F2,FCCF,-107.029159,ATcT_v1.220,fluorinated
475,N-Methylethanamine,C3H9N,CCNC,-10.898662,ATcT_v1.220,small_CHNO
476,Sulfenic acid,H2OS,OS,-27.323136,ATcT_v1.220,sulfur
477,"1,5-Hexadiyne",C6H6,C#CCCC#C,100.669216,ATcT_v1.220,hydrocarbon
478,Carbon monoxide,CO,[C-]#[O+],-26.414675,ATcT_v1.220,small_CHNO
479,"1,1,1,2-Tetrachloroethane",C2H2Cl4,ClCC(Cl)(Cl)Cl,-36.543977,ATcT_v1.220,chlorinated
480,Triprismane,C6H6,C12C3C1C1C2C31,133.054493,ATcT_v1.220,hydrocarbon
481,Benzvalene,C6H6,C1=CC2C3C1C23,92.423518,ATcT_v1.220,hydrocarbon
482,Isocyanoacetylene,C3HN,[C-]#[N+]C#C,116.400574,ATcT_v1.220,small_CHNO
483,Vinyl hydroperoxide,C2H4O2,C=COO,-9.16109,ATcT_v1.220,small_CHNO
484,Chloroform,CHCl3,ClC(Cl)Cl,-23.76195,ATcT_v1.220,chlorinated
485,Hexachloroethane,C2Cl6,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-35.01434,ATcT_v1.220,chlorinated
486,Vinylacetylene,C4H4,C#CC=C,69.239962,ATcT_v1.220,hydrocarbon
487,"1,2-Difluoroacetylene",C2F2,FC#CF,1.355163,ATcT_v1.220,fluorinated
488,2-Ethylidenedioxidan-2-ium-1-ide,C2H4O2,CC=[O+][O-],9.029637,ATcT_v1.220,small_CHNO
489,1-Propanol,C3H8O,CCCO,-60.941683,ATcT_v1.220,small_CHNO
490,1-Butanol,C4H10O,CCCCO,-65.666826,ATcT_v1.220,small_CHNO
491,"1,1,1-Trichloroethane",C2H3Cl3,CC(Cl)(Cl)Cl,-34.550669,ATcT_v1.220,chlorinated
492,Dioxyamidogen,HNO2,[NH-][O+]=O,55.879541,ATcT_v1.220,small_CHNO
493,Chloromethane,CH3Cl,CCl,-19.737094,ATcT_v1.220,chlorinated
494,Methanethiol,CH4S,CS,-4.940249,ATcT_v1.220,sulfur
495,Sulfur dioxide,O2S,O=S=O,-70.924952,ATcT_v1.220,sulfur
496,Chloroethane,C2H5Cl,CCCl,-26.6587,ATcT_v1.220,chlorinated
497,Vinyl chloride,C2H3Cl,C=CCl,5.212715,ATcT_v1.220,chlorinated
498,Vinyl fluoride,C2H3F,C=CF,-34.015296,ATcT_v1.220,fluorinated
