NAME,FORMULA,DHF,ID,,
1-Aminoethylium,[CH3CHNH2]+ (g),664.8,*30208-36-7*0,,
(Methylamino)methyl cation,[CH3NHCH2]+ (g),711.02,*31277-24-4*0,,
(Methylamino)methyl anion,[CH3NHCH2]- (g),185.2,*31277-25-5*0,,
Oxygen cation monohydrate,[(HOH)O]+ (g),1147.9,*31748-17-1*0,,
Sulfur dioxide - hydroxyl complex,"(OH)(OSO) (g, vdW)",-268.2,*32750-86-0*100,,
Helium dihydride,HHeH (g),608.9,*33309-42-1*0,,
Hydroxyimidogen anion,[NOH]- (g),227.4,*35337-59-8*0,,
Vinoxy cation,"[CH2CHO]+ (g, triplet)",1013.2,*35731-40-9*1,,
Protonated oxirane,[(CH2CH2)OH]+ (g),709.57,*38607-31-7*0,,
Isocyanic acid anion,[HNCO]- (g),-57.4,*444010-28-0*0,,
mu-Hydrotrihydrodisilicon cation,[Si(HSiH3)]+ (g),1152,*497967-55-2*0,,
1-Isocyanoethylidene,CH3CNC (g),523.2,*498544-34-6*0,,
1-Isocyanoethylidene,"CH3CNC (g, triplet)",540.8,*498544-34-6*1,,
1-Isocyanoethylidene,"CH3CNC (g, singlet)",523.2,*498544-34-6*2,,
Propan-1-yl-3-ylidene,"CH2CH2CH (g, quartet)",545.7,*50457-59-5*2,,
Oxiranylidene cation,[CH2(CO)]+ (g),1161.9,*50983-85-2*0,,
Oxiranylidene anion,[CH2(CO)]- (g),232.4,*50983-86-3*0,,
1-Hydroxy-1-methylethyl cation,[CH3C(OH)CH3]+ (g),501,*5131-95-3*0,,
Aminooxy cation,[NH2O]+ (g),938.86,*51375-41-8*0,,
Isocyanomethylidyne anion,[CNC]- (g),482.9,*53590-27-5*0,,
Carboxymethanaminium,[NH3CH2C(O)OH]+ (g),246.7,*56-40-6*0,,
Carboxymethanaminium,"[NH3CH2C(O)OH]+ (g, syn-anti)",246.6,*56-40-6*1,,
Carboxymethanaminium,"[NH3CH2C(O)OH]+ (g, syn-syn)",268,*56-40-6*2,,
Carboxymethanaminium,"[NH3CH2C(O)OH]+ (g, anti-anti)",277.4,*56-40-6*3,,
Carboxymethanaminium,[NH3CH2C(O)OH]+ (aq),-518.22,*56-40-6*800,,
Bicyclo[1.1.0]but-1(3)-ene cation,[CH2(CC)CH2]+ (g),1453.5,*58208-49-4*0,,
(E)-Diazene anion,"[HNNH]- (g, trans)",258.7,*59952-06-6*0,,
cyc-Thiozone cation,[S(SS)]+ (g),1039.6,*60063-56-1*0,,
Peroxyimidogen,NOO (g),403.4,*60488-31-5*0,,
Peroxyimidogen cation,[NOO]+ (g),1406.9,*60488-32-6*0,,
Isodiazene anion,[NNH2]- (g),374.1,*63986-30-1*0,,
(Methylimino)methanide,[CH3NCH]- (g),212.2,*64709-60-0*0,,
(Methylimino)methanide,"[CH3NCH]- (g, trans)",212.2,*64709-60-0*1,,
(Methylimino)methanide,"[CH3NCH]- (g, cis)",225.7,*64709-60-0*2,,
2-Aminoethenyl anion,[CHCHNH2]- (g),219.4,*64724-21-6*0,,
2-Aminoethenyl anion,"[CHCHNH2]- (g, syn)",231.3,*64724-21-6*1,,
2-Aminoethenyl anion,"[CHCHNH2]- (g, anti)",219.3,*64724-21-6*2,,
"1,2-Butadienylium",[CH3CHCCH]+ (g),1089.9,*65114-67-2*0,,
"1,2-Butadienylium","[CH3CHCCH]+ (g, triplet)",1307.5,*65114-67-2*1,,
"1,2-Butadienylium","[CH3CHCCH]+ (g, singlet)",1089.9,*65114-67-2*2,,
Isocyanogen iodide anion,[INC]- (g),125.2,*66004-32-8*0,,
Hydroxyamidogen anion,[HNOH]- (g),84.8,*66097-71-0*0,,
Dioxaziridinyl cation,[N(OO)]+ (g),1363.3,*66252-29-7*0,,
Peroxyhypochlorous acid cation,[HOOCl]+ (g),1024.6,*67952-07-2*0,,
Peroxyhypochlorous acid cation,"[HOOCl]+ (g, trans)",1024.5,*67952-07-2*1,,
Peroxyhypochlorous acid cation,"[HOOCl]+ (g, cis)",1045.2,*67952-07-2*2,,
Peroxyhypochlorous acid anion,"[HOOCl]- (g, quartet)",-33.9,*67952-08-3*0,,
Peroxyhypochlorous acid anion,"[HOOCl]- (g, trans quartet)",-3.3,*67952-08-3*1,,
Peroxyhypochlorous acid anion,"[HOOCl]- (g, cis quartet)",-33.9,*67952-08-3*2,,
Pentachloroethylium,[CCl3CCl2]+ (g),836.5,*7094-17-9*0,,
1H-diazirin-3-ide,[HN(NC)]- (g),376.7,*735234-64-7*0,,
1H-diazirin-3-ide,"[HN(NC)]- (g, triplet)",652.1,*735234-64-7*1,,
1H-diazirin-3-ide,"[HN(NC)]- (g, singlet)",376.7,*735234-64-7*2,,
2-Hydrotrioxy cation,[OO(H)O]+ (g),1291.8,*74241-49-9*0,,
O--HH Complex,"(H2)(O) (g, vdW Cinfv ?)",249,*7732-18-5*101,,
O--HH Complex,"(H2)(O) (g, vdW C2v ?)",248.2,*7732-18-5*102,,
Sulfonic acid,SH(O)(O)OH (g),-494.8,*7782-99-2*0,,
Oxygen difluoride anion,[FOF]- (g),-201.9,*7783-41-7*0,,
Difluorodioxidanium,[FOOF]+ (g),1280.1,*7783-44-0*0,,
Difluorodioxidanium,"[FOOF]+ (g, trans)",1279.2,*7783-44-0*1,,
Difluorodioxidanium,"[FOOF]+ (g, cis)",1283.1,*7783-44-0*2,,
Difluorodioxidane anion,[FOOF]- (g),-251,*7783-45-1*0,,
Sulfuryl dichloride cation,[OS(O)Cl2]+ (g),809.8,*7791-25-5*0,,
Bicyclo[1.1.0]but-2-ylium-1-yl,[CH2(CCH)CH]+ (g),1278.1,*78525-41-4*0,,
Diisocyanogen cation,[CNNC]+ (g),1828.5,*78800-21-2*0,,
Diisocyanogen cation,"[CNNC]+ (g, trans)",1828.1,*78800-21-2*1,,
Diisocyanogen cation,"[CNNC]+ (g, cis)",1842.6,*78800-21-2*2,,
Diisocyanogen anion,[CNNC]- (g),462.5,*78800-22-3*0,,
Dioxymethylidyne cation,"[(C)(OO)]+ (g, vdW quartet)",1391.7,*791121-04-5*101,,
Dioxymethylidyne cation,"[COO]+ (g, doublet)",1439,*791121-04-5*2,,
Aquacarbon cation,[H2OC]+ (g),1193,*81434-73-3*0,,
Ethylimidogen cation,"[CH3CH2N]+ (g, quartet)",1381.4,*82539-33-1*1,,
Isocyanogen anion,[CNCN]- (g),388.7,*83951-85-3*0,,
2-Hydroperoxyethylium,"[CH2CH2OOH]+ (g, triplet)",989.1,*84824-62-4*1,,
2-Cyanovinyl anion,[CHCHCN]- (g),261.5,*85398-67-0*0,,
2-Cyanovinyl anion,"[CHCHCN]- (g, anti)",263.3,*85398-67-0*1,,
2-Cyanovinyl anion,"[CHCHCN]- (g, syn)",260.8,*85398-67-0*2,,
3-Diaziridinylidene cation,[C(NHNH)]+ (g),1473.7,*85513-79-7*0,,
3-Diaziridinylidene cation,"[C(NHNH)]+ (g, anti)",1473.7,*85513-79-7*1,,
3-Diaziridinylidene cation,"[C(NHNH)]+ (g, syn)",1491.8,*85513-79-7*2,,
Formylethynyl cation,"[CCCHO]+ (g, triplet)",1542.8,*85905-64-2*1,,
Formylethynyl cation,"[CC(CHO)]+ (g, singlet)",1541.9,*85905-64-2*2,,
(Z)-Diazene anion,"[HNNH]- (g, cis)",273.4,*86631-37-0*0,,
Fluorosyl fluoride cation,[FFO]+ (g),1413.5,*86825-50-5*0,,
Fluorosyl fluoride cation,"[FFO]+ (g, quartet)",1413.5,*86825-50-5*1,,
Chlorosyl chloride anion,[ClClO]- (g),-184.7,*86825-55-0*0,,
Chlorosyl chloride cation,[ClClO]+ (g),1130.8,*86825-56-1*0,,
Fluorosyl fluoride anion,[FFO]- (g),-146.8,*86825-57-2*0,,
Fluorosyl fluoride anion,"[FFO]- (g, quartet)",-55.7,*86825-57-2*1,,
Fluorosyl fluoride anion,"[FFO]- (g, doublet)",-146.8,*86825-57-2*2,,
C=O=C anion,[COC]- (g),554,*87191-88-6*0,,
2-Hydrotrioxy anion,[OO(H)O]- (g),21.6,*89965-38-8*0,,
2-Aziridinylium,[NH(CHCH2)]+ (g),998.9,*91127-35-4*0,,
2-Aziridinylium,"[NH(CHCH2)]+ (g, triplet)",1293.3,*91127-35-4*1,,
2-Aziridinylium,"[NH(CHCH2)]+ (g, syn-triplet)",1324,*91127-35-4*11,,
2-Aziridinylium,"[NH(CHCH2)]+ (g, anti-triplet)",1293.3,*91127-35-4*12,,
2-Aziridinylium,"[NH(CHCH2)]+ (g, singlet)",998.9,*91127-35-4*2,,
2-Methyliumylidynehydrazin-2-ium-1-ide,[HNNC]+ (g),1542.5,*947408-73-3*0,,
2-Methyliumylidynehydrazin-2-ium-1-ide,"[HNNC]+ (g, triplet)",1561.5,*947408-73-3*1,,
2-Methyliumylidynehydrazin-2-ium-1-ide,"[HNNC]+ (g, singlet)",1542.5,*947408-73-3*2,,
2-Methanidylidynehydrazin-2-ium-1-ide,[HNNC]- (g),279.2,*947408-74-4*0,,
2-Methanidylidynehydrazin-2-ium-1-ide,"[HNNC]- (g, triplet)",516.3,*947408-74-4*1,,
2-Methanidylidynehydrazin-2-ium-1-ide,"[HNNC]- (g, t-triplet)",530.3,*947408-74-4*11,,
2-Methanidylidynehydrazin-2-ium-1-ide,"[HNNC]- (g, c-triplet)",516.1,*947408-74-4*12,,
2-Methanidylidynehydrazin-2-ium-1-ide,"[HNNC]- (g, singlet)",279.2,*947408-74-4*2,,
Phenylperoxy anion,[C6H5OO]- (g),-55.7,*956036-17-2*0,,
Cyclobutatrienyl,CH(CCC) (g),965.5,*99417-52-4*0,,
"Bicyclo[1.1.0]buta-1,1-diene-2,4-diyl",C(CCH)C (g),993.6,*99417-53-5*0,,
Chlorous acid cation,[HOClO]+ (g),991.6,*99559-66-7*0,,
Ethylbenzene,C6H5CH2CH3 (g),29.96,100-41-4*0,,
Ethylbenzene,"C6H5CH2CH3 (cr,l)",-12.31,100-41-4*500,,
Phenylethene,C6H5CHCH2 (g),148.56,100-42-5*0,,
Phenylethene,"C6H5CHCH2 (cr,l)",104.48,100-42-5*500,,
Benzonitrile,C6H5CN (g),215.8,100-47-0*0,,
Benzonitrile,"C6H5CN (cr,l)",163.54,100-47-0*500,,
Benzaldehyde,C6H5C(O)H (g),-36.96,100-52-7*0,,
Benzaldehyde,"C6H5C(O)H (cr,l)",-86.67,100-52-7*500,,
Anisole,C6H5OCH3 (g),-70.82,100-66-3*0,,
Anisole,C6H5OCH3 (l),-117.52,100-66-3*500,,
Nitrous oxide,NNO (g),82.593,10024-97-2*0,,
Nitrous oxide,"NNO (aq, undissoc)",61.42,10024-97-2*1000,,
Ozone,OOO (g),141.744,10028-15-6*0,,
Ozone,"OOO (aq, undissoc)",118.19,10028-15-6*1000,,
Hydrogen iodide,HI (g),26.471,10034-85-2*0,,
Hydrogen iodide,HI (aq),-56.824,10034-85-2*800,,
Hydrogen iodide,"HI (aq, 3 H2O)",-36.91,10034-85-2*805,,
Hydrogen iodide,"HI (aq, 4 H2O)",-44.15,10034-85-2*807,,
Hydrogen iodide,"HI (aq, 5 H2O)",-47.72,10034-85-2*809,,
Hydrogen iodide,"HI (aq, 6 H2O)",-49.962,10034-85-2*811,,
Hydrogen iodide,"HI (aq, 7 H2O)",-51.301,10034-85-2*812,,
Hydrogen iodide,"HI (aq, 8 H2O)",-52.22,10034-85-2*813,,
Hydrogen iodide,"HI (aq, 9 H2O)",-52.89,10034-85-2*814,,
Hydrogen iodide,"HI (aq, 10 H2O)",-53.37,10034-85-2*815,,
Hydrogen iodide,"HI (aq, 12 H2O)",-54.02,10034-85-2*816,,
Hydrogen iodide,"HI (aq, 15 H2O)",-54.585,10034-85-2*817,,
Hydrogen iodide,"HI (aq, 20 H2O)",-55.08,10034-85-2*818,,
Hydrogen iodide,"HI (aq, 25 H2O)",-55.35,10034-85-2*819,,
Hydrogen iodide,"HI (aq, 30 H2O)",-55.51,10034-85-2*820,,
Hydrogen iodide,"HI (aq, 40 H2O)",-55.694,10034-85-2*821,,
Hydrogen iodide,"HI (aq, 50 H2O)",-55.803,10034-85-2*822,,
Hydrogen iodide,"HI (aq, 75 H2O)",-55.962,10034-85-2*825,,
Hydrogen iodide,"HI (aq, 100 H2O)",-56.041,10034-85-2*828,,
Hydrogen iodide,"HI (aq, 150 H2O)",-56.133,10034-85-2*829,,
Hydrogen iodide,"HI (aq, 200 H2O)",-56.192,10034-85-2*830,,
Hydrogen iodide,"HI (aq, 300 H2O)",-56.271,10034-85-2*831,,
Hydrogen iodide,"HI (aq, 400 H2O)",-56.318,10034-85-2*832,,
Hydrogen iodide,"HI (aq, 500 H2O)",-56.355,10034-85-2*833,,
Hydrogen iodide,"HI (aq, 600 H2O)",-56.389,10034-85-2*834,,
Hydrogen iodide,"HI (aq, 700 H2O)",-56.41,10034-85-2*835,,
Hydrogen iodide,"HI (aq, 800 H2O)",-56.43,10034-85-2*837,,
Hydrogen iodide,"HI (aq, 900 H2O)",-56.447,10034-85-2*838,,
Hydrogen iodide,"HI (aq, 1000 H2O)",-56.464,10034-85-2*839,,
Hydrogen iodide,"HI (aq, 1500 H2O)",-56.518,10034-85-2*840,,
Hydrogen iodide,"HI (aq, 2000 H2O)",-56.552,10034-85-2*841,,
Hydrogen iodide,"HI (aq, 3000 H2O)",-56.598,10034-85-2*842,,
Hydrogen iodide,"HI (aq, 4000 H2O)",-56.623,10034-85-2*843,,
Hydrogen iodide,"HI (aq, 5000 H2O)",-56.64,10034-85-2*844,,
Hydrogen iodide,"HI (aq, 7000 H2O)",-56.665,10034-85-2*846,,
Hydrogen iodide,"HI (aq, 10000 H2O)",-56.69,10034-85-2*850,,
Hydrogen iodide,"HI (aq, 20000 H2O)",-56.728,10034-85-2*852,,
Hydrogen iodide,"HI (aq, 50000 H2O)",-56.761,10034-85-2*855,,
Hydrogen iodide,"HI (aq, 100000 H2O)",-56.778,10034-85-2*861,,
Hydrogen iodide,"HI (aq, 55.51 H2O)",-55.853,10034-85-2*891,,
Hydrogen iodide,"HI (aq, 111 H2O)",-56.071,10034-85-2*892,,
Hydrogen iodide,"HI (aq, 555.1 H2O)",-56.376,10034-85-2*895,,
Hydrogen iodide,"HI (aq, 2500 H2O)",-56.577,10034-85-2*898,,
Hydrogen iodide,"HI (aq, 1250 H2O)",-56.493,10034-85-2*954,,
Hydrogen iodide,"HI (aq, 5130 H2O)",-56.642,10034-85-2*958,,
Hydrogen bromide,HBr (g),-35.36,10035-10-6*0,,
Hydrogen bromide,HBr (aq),-120.5,10035-10-6*800,,
Hydrogen bromide,"HBr (aq, 1 H2O)",-71.66,10035-10-6*801,,
Hydrogen bromide,"HBr (aq, 2 H2O)",-92.66,10035-10-6*803,,
Hydrogen bromide,"HBr (aq, 3 H2O)",-102.2,10035-10-6*805,,
Hydrogen bromide,"HBr (aq, 5 H2O)",-110.68,10035-10-6*809,,
Hydrogen bromide,"HBr (aq, 10 H2O)",-115.9,10035-10-6*815,,
Hydrogen bromide,"HBr (aq, 12 H2O)",-116.68,10035-10-6*816,,
Hydrogen bromide,"HBr (aq, 15 H2O)",-117.38,10035-10-6*817,,
Hydrogen bromide,"HBr (aq, 20 H2O)",-118.02,10035-10-6*818,,
Hydrogen bromide,"HBr (aq, 25 H2O)",-118.35,10035-10-6*819,,
Hydrogen bromide,"HBr (aq, 30 H2O)",-118.58,10035-10-6*820,,
Hydrogen bromide,"HBr (aq, 40 H2O)",-118.9,10035-10-6*821,,
Hydrogen bromide,"HBr (aq, 50 H2O)",-119.1,10035-10-6*822,,
Hydrogen bromide,"HBr (aq, 75 H2O)",-119.36,10035-10-6*825,,
Hydrogen bromide,"HBr (aq, 100 H2O)",-119.5,10035-10-6*828,,
Hydrogen bromide,"HBr (aq, 150 H2O)",-119.66,10035-10-6*829,,
Hydrogen bromide,"HBr (aq, 200 H2O)",-119.75,10035-10-6*830,,
Hydrogen bromide,"HBr (aq, 300 H2O)",-119.86,10035-10-6*831,,
Hydrogen bromide,"HBr (aq, 400 H2O)",-119.92,10035-10-6*832,,
Hydrogen bromide,"HBr (aq, 500 H2O)",-119.97,10035-10-6*833,,
Hydrogen bromide,"HBr (aq, 600 H2O)",-120.01,10035-10-6*834,,
Hydrogen bromide,"HBr (aq, 700 H2O)",-120.04,10035-10-6*835,,
Hydrogen bromide,"HBr (aq, 800 H2O)",-120.06,10035-10-6*837,,
Hydrogen bromide,"HBr (aq, 900 H2O)",-120.08,10035-10-6*838,,
Hydrogen bromide,"HBr (aq, 1000 H2O)",-120.1,10035-10-6*839,,
Hydrogen bromide,"HBr (aq, 1500 H2O)",-120.17,10035-10-6*840,,
Hydrogen bromide,"HBr (aq, 2000 H2O)",-120.2,10035-10-6*841,,
Hydrogen bromide,"HBr (aq, 3000 H2O)",-120.25,10035-10-6*842,,
Hydrogen bromide,"HBr (aq, 4000 H2O)",-120.28,10035-10-6*843,,
Hydrogen bromide,"HBr (aq, 5000 H2O)",-120.3,10035-10-6*844,,
Hydrogen bromide,"HBr (aq, 7000 H2O)",-120.33,10035-10-6*846,,
Hydrogen bromide,"HBr (aq, 10000 H2O)",-120.36,10035-10-6*850,,
Hydrogen bromide,"HBr (aq, 20000 H2O)",-120.4,10035-10-6*852,,
Hydrogen bromide,"HBr (aq, 50000 H2O)",-120.43,10035-10-6*855,,
Hydrogen bromide,"HBr (aq, 100000 H2O)",-120.43,10035-10-6*861,,
