method,n_conformers,model,n_params,subset,n_molecules,adj_r2,rmsd,mad,max_dev,cv_rmsd,time_sec,hardware
xTB,3.0,bondorder,9,all,310,0.975764500041396,5.691046395179017,3.605246587059896,28.80276394340472,6.626780713778035,15.416492462158203,CPU
xTB,3.0,bondorder_ext,15,all,310,0.9837527991832368,4.612840589639238,2.9822220548743257,24.31185319874149,5.452102755944537,15.416492462158203,CPU
xTB,3.0,bondorder_ar,12,all,310,0.9757689643329204,5.661998111978741,3.570984285926892,28.787510181043032,6.803693746011444,15.416492462158203,CPU
xTB,3.0,extended,14,all,310,0.9590951183351616,7.331689859289415,3.92126419255448,49.23845101004467,8.260190464475459,15.416492462158203,CPU
xTB,3.0,neighbour,22,all,310,0.9804872802195078,4.994653437669373,2.8255320452969404,50.70514521893856,564.6905004436074,15.416492462158203,CPU
xTB,3.0,4param,4,cawkwell,102,0.8426759032951694,16.97369938847146,12.082654498553651,77.22023226278952,17.71860574041156,15.416492462158203,CPU
xTB,3.0,7param,7,cawkwell,102,0.8945490968246006,13.67987391179444,9.447981451753453,69.21860807114354,15.073900226299545,15.416492462158203,CPU
xTB,3.0,hybrid,9,cawkwell,102,0.9134086951664088,12.263772103840733,8.664403616401998,48.31897914031201,13.554355214244636,15.416492462158203,CPU
xTB,3.0,bondorder,9,cawkwell,102,0.9549541294762546,8.845337768795783,6.8139790325929095,27.20947367648914,10.418915090076869,15.416492462158203,CPU
xTB,3.0,bondorder_ext,15,cawkwell,102,0.9703660465520496,6.9364464618567325,5.112569954850676,23.77961944486779,8.9990154304523,15.416492462158203,CPU
xTB,3.0,bondorder_ar,12,cawkwell,102,0.9541604793874812,8.77623113888175,6.752445673382179,26.565761237118565,10.626410176816648,15.416492462158203,CPU
xTB,3.0,extended,14,cawkwell,102,0.914059458621379,11.880964129881187,8.11205101875351,42.5142804109701,13.97965349996838,15.416492462158203,CPU
xTB,3.0,neighbour,22,cawkwell,102,0.9625164935250038,7.4769877136394385,4.379302915974561,49.42591341735315,994.2387469826218,15.416492462158203,CPU
xTB,5.0,4param,4,all,310,0.9091685519400454,11.108963650877325,7.094544774869721,76.15481448220407,11.482341237103336,15.13824462890625,CPU
xTB,5.0,7param,7,all,310,0.9483443592310254,8.336194810168228,4.54244461199702,71.218271449427,8.919720279095795,15.13824462890625,CPU
xTB,5.0,hybrid,9,all,310,0.9574264796540322,7.542857722932921,4.113507373983935,52.58988670082094,8.416677422723245,15.13824462890625,CPU
xTB,5.0,bondorder,9,all,310,0.9754005420250104,5.733619961559365,3.62512842712887,28.6187868630157,6.691975968892125,15.13824462890625,CPU
xTB,5.0,bondorder_ext,15,all,310,0.9834700496243804,4.652806024989675,2.994546071507915,24.550302881780595,5.513435134468431,15.13824462890625,CPU
xTB,5.0,bondorder_ar,12,all,310,0.9753775472898472,5.707545571724602,3.590734152551801,28.56972903888236,6.886517859309053,15.13824462890625,CPU
xTB,5.0,extended,14,all,310,0.9582186827426984,7.409818651184186,3.942710438236941,52.25045463964402,8.365040716802023,15.13824462890625,CPU
xTB,5.0,neighbour,22,all,310,0.9803993845097612,5.005890091037776,2.824889645650971,50.98063314390093,564.6846930292943,15.13824462890625,CPU
xTB,5.0,4param,4,cawkwell,102,0.8412684645259906,17.04945463302964,12.142850702117874,77.12882597219141,17.819515257852995,15.13824462890625,CPU
xTB,5.0,7param,7,cawkwell,102,0.8936277114745363,13.739508403355762,9.5075205599308,69.19137494636834,15.153923437701788,15.13824462890625,CPU
xTB,5.0,hybrid,9,cawkwell,102,0.9114293177130536,12.40314796106034,8.721781492188034,51.33857463433292,13.703911992757527,15.13824462890625,CPU
xTB,5.0,bondorder,9,cawkwell,102,0.9541026113753336,8.928549645777876,6.863443842748452,27.01658806927007,10.5208703462504,15.13824462890625,CPU
xTB,5.0,bondorder_ext,15,cawkwell,102,0.9696090832912772,7.024479373137597,5.154102886610575,24.00137285716792,9.11901883038128,15.13824462890625,CPU
